Hello: G:\ML Data\Exam\Signature Verification\Codes
Training Epoch 1 --- Training Accuracy:   0.0%, Validation Accuracy:   0.0%,  Validation Loss: 3.350
Training Epoch 2 --- Training Accuracy:   9.4%, Validation Accuracy:   0.0%,  Validation Loss: 3.354
Training Epoch 3 --- Training Accuracy:   9.4%, Validation Accuracy:   3.1%,  Validation Loss: 3.342
Training Epoch 4 --- Training Accuracy:  12.5%, Validation Accuracy:   3.1%,  Validation Loss: 3.296
Training Epoch 5 --- Training Accuracy:  15.6%, Validation Accuracy:   3.1%,  Validation Loss: 3.295
Training Epoch 6 --- Training Accuracy:  25.0%, Validation Accuracy:  12.5%,  Validation Loss: 3.221
Training Epoch 7 --- Training Accuracy:  31.2%, Validation Accuracy:  31.2%,  Validation Loss: 2.890
Training Epoch 8 --- Training Accuracy:  50.0%, Validation Accuracy:  31.2%,  Validation Loss: 2.710
Training Epoch 9 --- Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 2.411
Training Epoch 10 --- Training Accuracy:  84.4%, Validation Accuracy:  75.0%,  Validation Loss: 1.238
Training Epoch 11 --- Training Accuracy:  96.9%, Validation Accuracy:  84.4%,  Validation Loss: 0.964
Training Epoch 12 --- Training Accuracy:  96.9%, Validation Accuracy:  87.5%,  Validation Loss: 1.011
Training Epoch 13 --- Training Accuracy:  96.9%, Validation Accuracy:  96.9%,  Validation Loss: 0.322
Training Epoch 14 --- Training Accuracy:  96.9%, Validation Accuracy:  93.8%,  Validation Loss: 0.452
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.585
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.184
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.414
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.470
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.169
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.408
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.423
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.159
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.379
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.407
